iter	Passed	Remaining
401	13997	20822
402	14032	20786
403	14067	20752
404	14097	20710
405	14129	20672
406	14163	20636
407	14200	20604
408	14235	20569
409	14269	20533
410	14301	20495
411	14337	20461
412	14376	20433
413	14410	20396
414	14442	20358
415	14476	20322
416	14509	20285
417	14541	20247
418	14570	20204
419	14599	20161
420	14635	20127
421	14662	20082
422	14695	20045
423	14729	20010
424	14759	19968
425	14792	19931
426	14825	19895
427	14860	19860
428	14893	19823
429	14929	19790
430	14960	19750
431	14993	19714
432	15030	19681
433	15065	19648
434	15102	19615
435	15135	19579
436	15167	19540
437	15199	19503
438	15237	19472
439	15273	19439
440	15301	19396
441	15337	19363
442	15369	19324
443	15401	19286
444	15437	19253
445	15468	19214
446	15504	19181
447	15533	19139
448	15567	19104
449	15596	19062
450	15626	19021
451	15663	18990
452	15699	18957
453	15743	18933
454	15802	18928
455	15854	18914
456	15891	18881
457	15924	18845
458	15956	18807
459	15988	18768
460	16019	18730
461	16054	18695
462	16085	18656
463	16116	18617
464	16152	18583
465	16187	18550
466	16220	18513
467	16252	18475
468	16288	18441
469	16324	18408
470	16356	18370
471	16391	18336
472	16431	18307
473	16463	18270
474	16495	18232
475	16522	18189
476	16552	18149
477	16586	18113
478	16622	18079
479	16653	18040
480	16685	18003
481	16716	17965
482	16748	17927
483	16778	17888
484	16804	17844
485	16836	17806
486	16867	17768
487	16902	17733
488	16935	17697
489	16964	17657
490	16999	17622
491	17032	17586
492	17067	17552
493	17102	17517
494	17138	17484
495	17172	17449
496	17210	17418
497	17244	17382
498	17276	17345
499	17313	17313
500	17349	17280
501	17382	17243
502	17414	17207
503	17448	17171
504	17482	17136
505	17517	17101
506	17550	17065
507	17584	17030
508	17616	16993
509	17648	16956
510	17678	16917
511	17712	16882
512	17744	16845
513	17778	16810
514	17811	16774
515	17846	16739
516	17878	16703
517	17914	16669
518	17946	16632
519	17984	16600
520	18017	16564
521	18050	16529
522	18084	16494
523	18116	16456
524	18149	16421
525	18182	16384
526	18218	16351
527	18251	16315
528	18283	16279
529	18314	16240
530	18348	16205
531	18380	16169
532	18414	16134
533	18451	16102
534	18483	16065
535	18517	16030
536	18546	15990
537	18574	15950
538	18604	15911
539	18635	15874
540	18666	15837
541	18699	15801
542	18731	15764
543	18762	15727
544	18790	15687
545	18818	15647
546	18848	15609
547	18883	15575
548	18920	15543
549	18958	15511
550	18993	15477
551	19025	15440
552	19059	15406
553	19096	15373
554	19127	15336
555	19163	15302
556	19195	15266
557	19231	15233
558	19265	15198
559	19295	15160
560	19333	15129
561	19366	15093
562	19400	15058
563	19433	15023
564	19461	14983
565	19493	14947
566	19526	14911
567	19556	14873
568	19586	14836
569	19616	14798
570	19648	14762
571	19687	14731
572	19719	14694
573	19753	14660
574	19789	14626
575	19824	14593
576	19860	14560
577	19895	14525
578	19930	14491
579	19968	14459
580	19998	14422
581	20034	14389
582	20068	14354
583	20103	14320
584	20135	14283
585	20162	14244
586	20198	14211
587	20231	14175
588	20266	14141
589	20301	14107
590	20331	14070
591	20364	14035
592	20402	14003
593	20443	13973
594	20472	13934
595	20506	13900
596	20538	13864
597	20572	13829
598	20604	13793
599	20637	13758
600	20667	13720
601	20700	13685
602	20728	13647
603	20760	13611
604	20793	13576
605	20823	13538
606	20859	13505
607	20890	13469
608	20926	13435
609	20959	13400
610	20994	13366
611	21027	13331
612	21058	13294
613	21089	13257
614	21119	13221
615	21154	13187
616	21187	13152
617	21220	13116
618	21255	13082
619	21287	13047
620	21316	13009
621	21352	12976
622	21385	12941
623	21423	12908
624	21460	12876
625	21496	12843
626	21529	12807
627	21562	12772
628	21603	12742
629	21637	12707
630	21670	12672
631	21705	12638
632	21740	12604
633	21776	12571
634	21805	12533
635	21838	12498
636	21875	12466
637	21911	12432
638	21947	12399
639	21982	12365
640	22015	12329
641	22050	12295
642	22083	12261
643	22118	12227
644	22149	12190
645	22187	12158
646	22220	12123
647	22253	12088
648	22286	12053
649	22323	12020
650	22358	11986
651	22395	11953
652	22432	11920
653	22468	11886
654	22502	11852
655	22533	11816
656	22559	11777
657	22589	11741
658	22620	11705
659	22653	11670
660	22684	11633
661	22712	11596
662	22742	11559
663	22768	11521
664	22799	11485
665	22833	11450
666	22867	11416
667	22902	11382
668	22936	11348
669	22975	11316
670	23006	11280
671	23040	11245
672	23072	11210
673	23104	11175
674	23143	11143
675	23174	11107
676	23206	11071
677	23241	11038
678	23274	11003
679	23306	10967
680	23339	10932
681	23377	10900
682	23404	10862
683	23438	10828
684	23470	10792
685	23506	10759
686	23542	10725
687	23575	10691
688	23612	10658
689	23648	10624
690	23680	10589
691	23717	10556
692	23751	10521
693	23785	10487
694	23819	10453
695	23858	10421
696	23891	10386
697	23925	10351
698	23957	10316
699	23991	10282
700	24027	10248
701	24060	10213
702	24091	10177
703	24126	10144
704	24163	10110
705	24196	10076
706	24231	10042
707	24268	10008
708	24302	9974
709	24342	9942
710	24376	9908
711	24410	9873
712	24445	9839
713	24483	9806
714	24512	9770
715	24546	9736
716	24577	9700
717	24611	9666
718	24642	9630
719	24679	9597
720	24714	9563
721	24747	9528
722	24780	9494
723	24812	9459
724	24845	9424
725	24882	9390
726	24915	9356
727	24944	9319
728	24979	9285
729	25018	9253
730	25047	9217
731	25081	9183
732	25121	9150
733	25158	9117
734	25191	9082
735	25225	9048
736	25258	9013
737	25291	8978
738	25327	8945
739	25361	8910
740	25396	8876
741	25431	8842
742	25465	8808
743	25497	8773
744	25529	8738
745	25562	8703
746	25600	8670
747	25633	8635
748	25669	8602
749	25700	8566
750	25733	8532
751	25766	8497
752	25795	8461
753	25829	8427
754	25863	8392
755	25898	8358
756	25931	8324
757	25967	8290
758	26004	8257
759	26037	8222
760	26073	8188
761	26107	8154
762	26140	8119
763	26170	8084
764	26205	8049
765	26238	8015
766	26271	7980
767	26308	7947
768	26342	7913
769	26375	7878
770	26410	7844
771	26441	7809
772	26477	7775
773	26509	7740
774	26539	7704
775	26569	7669
776	26601	7634
777	26634	7600
778	26667	7565
779	26698	7530
780	26731	7495
781	26762	7460
782	26794	7425
783	26828	7391
784	26866	7358
785	26899	7323
786	26935	7289
787	26970	7256
788	27003	7221
789	27040	7187
790	27070	7152
791	27109	7119
792	27142	7085
793	27173	7050
794	27209	7016
795	27243	6981
796	27276	6947
797	27310	6913
798	27343	6878
799	27377	6844
800	27409	6809
801	27443	6775
802	27473	6740
803	27510	6706
804	27544	6672
805	27583	6639
806	27618	6605
807	27650	6570
808	27686	6536
809	27721	6502
810	27759	6469
811	27792	6434
812	27823	6399
813	27852	6364
814	27891	6331
815	27927	6297
816	27960	6262
817	27991	6227
818	28025	6193
819	28060	6159
820	28092	6125
821	28123	6089
822	28154	6055
823	28189	6021
824	28225	5987
825	28263	5953
826	28300	5920
827	28333	5885
828	28366	5851
829	28400	5816
830	28432	5782
831	28470	5748
832	28505	5714
833	28539	5680
834	28569	5645
835	28598	5610
836	28629	5575
837	28660	5540
838	28694	5506
839	28725	5471
840	28756	5436
841	28786	5401
842	28817	5366
843	28855	5333
844	28888	5299
845	28921	5264
846	28956	5230
847	28989	5196
848	29022	5161
849	29054	5127
850	29089	5093
851	29122	5058
852	29153	5024
853	29189	4990
854	29220	4955
855	29257	4921
856	29291	4887
857	29323	4853
858	29355	4818
859	29388	4784
860	29421	4749
861	29460	4716
862	29494	4682
863	29526	4647
864	29560	4613
865	29595	4579
866	29627	4545
867	29661	4510
868	29696	4476
869	29734	4443
870	29769	4408
871	29803	4374
872	29838	4340
873	29876	4307
874	29909	4272
875	29943	4238
876	29977	4204
877	30011	4170
878	30045	4136
879	30082	4102
880	30117	4068
881	30150	4033
882	30186	3999
883	30223	3965
884	30257	3931
885	30289	3897
886	30319	3862
887	30357	3828
888	30391	3794
889	30426	3760
890	30461	3726
891	30497	3692
892	30528	3657
893	30563	3623
894	30596	3589
895	30630	3555
896	30665	3521
897	30697	3486
898	30731	3452
899	30763	3418
900	30795	3383
901	30832	3349
902	30866	3315
903	30898	3281
904	30934	3247
905	30970	3213
906	31002	3178
907	31038	3144
908	31073	3110
909	31111	3076
910	31144	3042
911	31180	3008
912	31215	2974
913	31246	2940
914	31280	2905
915	31313	2871
916	31348	2837
917	31378	2802
918	31410	2768
919	31442	2734
920	31475	2699
921	31508	2665
922	31541	2631
923	31574	2597
924	31607	2562
925	31640	2528
926	31678	2494
927	31717	2460
928	31747	2426
929	31778	2391
930	31810	2357
931	31844	2323
932	31880	2289
933	31915	2255
934	31949	2221
935	31982	2186
936	32019	2152
937	32049	2118
938	32082	2084
939	32117	2050
940	32150	2015
941	32186	1981
942	32222	1947
943	32257	1913
944	32291	1879
945	32325	1845
946	32357	1810
947	32386	1776
948	32421	1742
949	32457	1708
950	32496	1674
951	32528	1640
952	32561	1605
953	32593	1571
954	32623	1537
955	32654	1502
956	32684	1468
957	32716	1434
958	32746	1400
959	32775	1365
960	32810	1331
961	32844	1297
962	32879	1263
963	32914	1229
964	32951	1195
965	32978	1160
966	33009	1126
967	33042	1092
968	33076	1058
969	33112	1024
970	33146	989
971	33181	955
972	33209	921
973	33240	887
974	33270	853
975	33303	818
976	33333	784
977	33366	750
978	33402	716
979	33435	682
980	33472	648
981	33511	614
982	33543	580
983	33582	546
984	33619	511
985	33653	477
986	33690	443
987	33723	409
988	33758	375
989	33791	341
990	33823	307
991	33852	273
992	33889	238
993	33923	204
994	33962	170
995	33994	136
996	34030	102
997	34061	68
998	34093	34
999	34130	0
