iter	RMSE
0	0.02878916606
1	0.02832598729
2	0.02791988632
3	0.02757449553
4	0.02725851856
5	0.0269824554
6	0.02674454575
7	0.02654243223
8	0.02635552018
9	0.0261713031
10	0.02601253621
11	0.02586703244
12	0.02572736842
13	0.02561087685
14	0.02550745117
15	0.02540553506
16	0.02531898964
17	0.02520882917
18	0.02512566557
19	0.02504510865
20	0.02497886567
21	0.0249054397
22	0.02484087475
23	0.02478636445
24	0.02473256924
25	0.02466752256
26	0.02462507313
27	0.02458240238
28	0.02453846072
29	0.02449116561
30	0.02444612288
31	0.02438253218
32	0.02434367912
33	0.02430242566
34	0.0242543594
35	0.02419921064
36	0.02416064206
37	0.02412236951
38	0.0240802302
39	0.02404175662
40	0.02400994252
41	0.02396894782
42	0.02393029108
43	0.02391139891
44	0.02388754567
45	0.02385227191
46	0.02382793168
47	0.0238010078
48	0.02376605495
49	0.02373810614
50	0.02370049576
51	0.02366733592
52	0.02363996404
53	0.02360123853
54	0.02357717246
55	0.02354984719
56	0.02351934494
57	0.02349955667
58	0.02347181879
59	0.02343453366
60	0.02341357401
61	0.0233972405
62	0.0233788739
63	0.02335404352
64	0.02333589144
65	0.02330885589
66	0.02329215832
67	0.02327134144
68	0.0232415724
69	0.02322890549
70	0.02321115162
71	0.02318844217
72	0.0231661477
73	0.02315264148
74	0.02313929023
75	0.02312311649
76	0.02310509238
77	0.0230825465
78	0.02306541175
79	0.02304237546
80	0.02303227966
81	0.02302336562
82	0.02301092281
83	0.0229869497
84	0.02297867765
85	0.02295136732
86	0.02293796902
87	0.02291744805
88	0.02290096594
89	0.02288653011
90	0.02287113056
91	0.02285404192
92	0.02284348776
93	0.02282511574
94	0.02280961365
95	0.02279781498
96	0.02277946284
97	0.0227638986
98	0.02275712259
99	0.02274482163
100	0.02272689042
101	0.02272319891
102	0.02270305827
103	0.0226953993
104	0.02268907023
105	0.02267558195
106	0.02266962896
107	0.02264190163
108	0.02262206309
109	0.02259501545
110	0.02258331801
111	0.02257644127
112	0.02256248651
113	0.02254453432
114	0.02252957591
115	0.02251798565
116	0.02250792988
117	0.0224966817
118	0.02247382051
119	0.02245919262
120	0.02244892987
121	0.02243232178
122	0.02241967522
123	0.02240741143
124	0.02239038174
125	0.02237003221
126	0.02236255456
127	0.0223436821
128	0.02231750763
129	0.02230029287
130	0.02228498895
131	0.02227271245
132	0.02225885433
133	0.02224465775
134	0.02223005165
135	0.0222113671
136	0.02219512635
137	0.02218113978
138	0.02216691541
139	0.0221543206
140	0.02214532458
141	0.02213142354
142	0.02212015738
143	0.02210741003
144	0.02209023996
145	0.0220786633
146	0.02206625815
147	0.02205163542
148	0.02203144391
149	0.0220250217
150	0.02201574335
151	0.02199362726
152	0.02197979277
153	0.02196591129
154	0.0219587013
155	0.02193811092
156	0.02192370432
157	0.02191364042
158	0.02188663076
159	0.02186866921
160	0.02185326923
161	0.02184733338
162	0.02182734338
163	0.02182151556
164	0.02180845724
165	0.02179666428
166	0.02178465548
167	0.02176846595
168	0.02174932338
169	0.02174229918
170	0.02172323565
171	0.02170831587
172	0.02169362607
173	0.02168193672
174	0.02167579923
175	0.0216615393
176	0.02165373374
177	0.02164138774
178	0.02163090138
179	0.02160725825
180	0.02158393848
181	0.02157414849
182	0.021564804
183	0.02154092654
184	0.02152016553
185	0.02150696273
186	0.02149057945
187	0.02146755879
188	0.02145118645
189	0.02143662034
190	0.02141899629
191	0.02140799067
192	0.02139767698
193	0.02138290601
194	0.02137797374
195	0.0213591081
196	0.02133247567
197	0.02131818671
198	0.02130984406
199	0.02129895872
200	0.02128517764
201	0.02127955687
202	0.02126258561
203	0.0212581235
204	0.02124335721
205	0.02123821169
206	0.02122902217
207	0.02121472475
208	0.02120289799
209	0.02119661692
210	0.02118043426
211	0.02116810283
212	0.02115960978
213	0.02114359174
214	0.02112956328
215	0.02111687096
216	0.02108473629
217	0.02107854678
218	0.02106210068
219	0.0210501406
220	0.02103788291
221	0.02103322109
222	0.02102586856
223	0.02101387493
224	0.02100519396
225	0.0209894503
226	0.02098152951
227	0.02096164352
228	0.02095517016
229	0.02094256382
230	0.02092091973
231	0.02091151338
232	0.02089616759
233	0.02088195475
234	0.02087179306
235	0.02085931656
236	0.02085231603
237	0.02083705299
238	0.02081699488
239	0.02081221498
240	0.02080753884
241	0.02079920412
242	0.02077309784
243	0.02075828812
244	0.02073584148
245	0.02072858126
246	0.02071701356
247	0.02070847007
248	0.02069349602
249	0.02068814762
250	0.02066201275
251	0.02065570961
252	0.02064882781
253	0.02064221122
254	0.02063148278
255	0.02061646054
256	0.02060563739
257	0.02059762645
258	0.02059186474
259	0.0205766838
260	0.02055782558
261	0.02055148551
262	0.02054791457
263	0.02053580074
264	0.02052091976
265	0.02050924196
